timestamp,VWC,temp_soil,temp_room,temp_soil_shifted_1,temp_soil_shifted_2,temp_soil_shifted_3,temp_soil_shifted_4,temp_soil_shifted_5,temp_soil_shifted_6,temp_soil_predict
2017/11/22 09:35,0.369,21.7,21.1,21.7,21.7,21.7,21.7,21.7,21.7,21.702
2017/11/22 09:40,0.368,21.7,21.08,21.7,21.7,21.7,21.7,21.7,21.7,21.7018
2017/11/22 09:45,0.368,21.7,21.08,21.7,21.7,21.7,21.7,21.7,21.7,21.7018
2017/11/22 09:50,0.368,21.8,21.08,21.7,21.7,21.7,21.7,21.7,21.7,21.7018
2017/11/22 09:55,0.368,21.7,21.1,21.8,21.7,21.7,21.7,21.7,21.7,21.8053
2017/11/22 10:00,0.368,21.7,21.13,21.7,21.8,21.7,21.7,21.7,21.7,21.7017
2017/11/22 10:05,0.368,21.7,21.08,21.7,21.7,21.8,21.7,21.7,21.7,21.7014
2017/11/22 10:10,0.368,21.8,21.08,21.7,21.7,21.7,21.8,21.7,21.7,21.7034
2017/11/22 10:15,0.368,21.8,21.1,21.8,21.7,21.7,21.7,21.8,21.7,21.8029
2017/11/22 10:20,0.368,21.8,21.13,21.8,21.8,21.7,21.7,21.7,21.8,21.8022
2017/11/22 10:25,0.368,21.8,21.13,21.8,21.8,21.8,21.7,21.7,21.7,21.8046
2017/11/22 10:30,0.368,21.8,21.15,21.8,21.8,21.8,21.8,21.7,21.7,21.8065
2017/11/22 10:35,0.368,21.8,21.13,21.8,21.8,21.8,21.8,21.8,21.7,21.8038
2017/11/22 10:40,0.368,21.8,21.1,21.8,21.8,21.8,21.8,21.8,21.8,21.8006
2017/11/22 10:45,0.368,21.8,21.1,21.8,21.8,21.8,21.8,21.8,21.8,21.8006
2017/11/22 10:50,0.368,21.9,21.13,21.8,21.8,21.8,21.8,21.8,21.8,21.801
2017/11/22 10:55,0.368,21.9,21.1,21.9,21.8,21.8,21.8,21.8,21.8,21.9039
2017/11/22 11:00,0.367,21.8,21.08,21.9,21.9,21.8,21.8,21.8,21.8,21.9029
2017/11/22 11:05,0.367,21.9,21.03,21.8,21.9,21.9,21.8,21.8,21.8,21.7986
2017/11/22 11:10,0.367,21.9,20.98,21.9,21.8,21.9,21.9,21.8,21.8,21.9036
2017/11/22 11:15,0.367,21.8,20.94,21.9,21.9,21.8,21.9,21.9,21.8,21.9003
